Name,Cycle_Number,Total_10Day_Quantity,Max_Stock,Utilization_Rate,GroupName,Stock_Class,Storage Unit,Family,Site,Item Id,Demanded,Delivered,satisfaction_rate (%),Weekend,Month,Date_week,days_since_start,Inventory_Cycle,Cycle_Start_Day,Cycle_End_Day
TOMATE FRAICHE,0,34.3,526.85,0.065,Legumes Frais,A,KG,SOLIDES,Economat,12860,1,1,80.32407407407408,0,2024-01,lundi,0,1,0,9
TOQUE CHEF,0,2.0,6.0,0.333,Hygiène,C,PC (1 PC),CONSO/HYG,Economat,14235,1,1,83.54430379746836,0,2024-01,lundi,0,1,0,9
VIANDE HACHEE SPECIAL RESTO,0,4.7,191.07,0.025,Viandes Fraiches,A,PC (1 KG),SOLIDES,Economat,12871,1,1,66.26139817629179,0,2024-01,lundi,0,1,0,9
VIANDE SECHE FUME (BRESAOLA) TRANCHES 300GR,0,0.6,11.0,0.055,Viandes Fraiches,A,KG (1000 GR),SOLIDES,Economat,13118,1,1,75.53648068669528,0,2024-01,lundi,0,1,0,9
VIPA ORIENTAL MIX 100 GR,0,8.0,48.0,0.167,Fruits Secs,B,PC (1 PC),SOLIDES,Economat,12874,1,1,27.27272727272727,0,2024-01,lundi,0,1,0,9
AGITATEUR EN BOIS 11CM,1,9000.0,12499.0,0.72,Consommable,C,PC (1 PC),CONSO/HYG,Economat,12876,8,8,70.17543859649122,1,2024-01,mardi,1,1,1,10
AIL,1,5.3,8.3,0.639,Legumes Frais,B,KG (1 KG),SOLIDES,Economat,12527,2,2,82.17821782178217,0,2024-01,mardi,1,1,1,10
AJAX VITRE,1,11.0,32.0,0.344,Hygiène,A,PC (1 PC),CONSO/HYG,Economat,13139,7,7,68.68451688009313,1,2024-01,mercredi,2,1,2,11
AMANDE EFFILEE,1,1.0,4.0,0.25,Fruits Secs,B,PC (1 KG),SOLIDES,Economat,12878,1,1,77.64705882352942,0,2024-01,mercredi,2,1,2,11
AMANDES GRILEES SALEES 70GR,1,24.0,84.0,0.286,Fruits Secs,B,PC (1 PC),SOLIDES,Economat,12879,1,1,72.5925925925926,0,2024-01,jeudi,10,2,10,19
AMSTEL BEER BLLE 33CL,1,260.0,432.0,0.602,Alcools,B,BTL,LIQUIDES,Economat,13579,2,2,92.44186046511628,0,2024-01,lundi,7,1,7,16
ANANAS PCES,1,91.0,172.0,0.529,Jus Fruit Lait,A,PC (1 PC),LIQUIDES,Economat,13616,9,9,76.66068222621185,1,2024-01,mardi,1,1,1,10
ASEPCLOR,1,10.0,60.0,0.167,Hygiène,A,PC (1 PC),CONSO/HYG,Economat,12880,2,2,81.53846153846153,1,2024-01,dimanche,6,1,6,15
AUBERGINE LEGUME,1,5.65,17.85,0.317,Legumes Frais,A,KG (1 KG),SOLIDES,Economat,12532,2,2,71.64948453608247,1,2024-01,dimanche,6,1,6,15
BACON BOEUF FUME TRANCHES ( 300GR),1,3.9,6.9,0.565,Viandes Fraiches,A,KG (1000 GR),SOLIDES,Economat,13257,3,3,79.56656346749226,1,2024-01,vendredi,4,1,4,13
BACON DE DINDE TRANCHES (1 - 1.5 KG),1,20.0,43.0,0.465,Charcuterie,B,KG (1 KG),SOLIDES,Economat,10865,1,1,68.70748299319727,1,2024-01,vendredi,4,1,4,13
BACTYGEL 703 CF,1,3.0,4.0,0.75,Hygiène,B,BTL (1 BTL),CONSO/HYG,Economat,14368,3,3,64.70588235294117,0,2024-01,mardi,1,1,1,10
BALAIS SANS MANCHE,1,2.0,9.0,0.222,Hygiène,C,PC (1 PC),CONSO/HYG,Economat,12882,1,1,89.70588235294117,0,2024-01,lundi,7,1,7,16
BARQUETTE CARTON CIG,1,1000.0,3000.0,0.333,Consommable,B,PC (1 PC),CONSO/HYG,Economat,12496,2,2,51.33689839572193,0,2024-01,mardi,1,1,1,10
BASILIC BARQUETTE,1,2.6,11.05,0.235,Legumes Frais,A,KG (1 KG),SOLIDES,Economat,12539,5,5,50.74183976261127,1,2024-01,mardi,1,1,1,10
BECK'S JET 24CL,1,145.0,683.0,0.212,Alcools,A,BTL (1 PC),LIQUIDES,Economat,13242,7,7,93.3933933933934,1,2024-01,mardi,1,1,1,10
BIOSPOT,1,600.0,2400.0,0.25,Hygiène,D,PC (1 PC),CONSO/HYG,Economat,13793,1,1,85.0,0,2024-01,mercredi,2,1,2,11
