Name,Physical Storage Quantity,Storage Unit,GroupName,Date_week,Month,Stock_Class,Cycle,Max_Stock
GOBLET DB 19 CC,50.0,PC (1 PC),Consommable,lundi,2024-01,A,0,12000.0
HARISSA 5/2,11.0,BOTTE (1 BTE),Epicerie,lundi,2024-01,A,0,53.0
HUILE VEGETALE 5L,12.0,L (5 PC),Epicerie,lundi,2024-01,A,0,54.0
INTENSO NSPRS,400.0,PC,Cafe,lundi,2024-01,A,0,4050.0
JOUR ET NUIT ROSE 1/2,18.0,PC (1 PC),Alcools,lundi,2024-01,B,0,52.0
JUS CITRONADE  CLASSIQUE 250 ml,70.0,PC (1 PC),Jus Fruit Lait,lundi,2024-01,A,0,1403.0
JUS FRAISE  MINI CAMAROSA 250 ml,69.0,PC (1 PC),Jus Fruit Lait,lundi,2024-01,A,0,1210.0
JUS STILL 20 CL,24.0,PC,Jus Fruit Lait,lundi,2024-01,A,0,552.0
KETCHUP,1.0,PC (5000 PC),Epicerie,lundi,2024-01,C,0,40.0
KINDER T4,40.0,PC (1 PC),Epicerie,lundi,2024-01,B,0,180.0
KIWI,60.0,PC (1 PC),Fruits & Legumes Frais,lundi,2024-01,A,0,641.0
LAIT UHT DEMI ECREME,117.0,PQT (1 L),Jus Fruit Lait,lundi,2024-01,A,0,1322.0
LAVETTE COTON,6.0,PC (1 PC),Hygiène,lundi,2024-01,A,0,149.0
LIPTON ICE TEA PECHE 33 CL,163.0,PC (1 PC),THE,lundi,2024-01,A,0,1485.0
LOT CAFE EN GRAINS ( BARISTA N°3 ),10.0,PC (1 KG),Cafe,lundi,2024-01,A,0,98.0
MAY 0.5L,1514.0,PC,Eaux et Sodas,lundi,2024-01,A,0,22614.0
MAYO 5L DEJ,30.0,KG (5000 GR),Epicerie,lundi,2024-01,A,0,170.0
MENTOS ROLLS FRUIT FLAVOUR,40.0,PC (1 PC),Epicerie,lundi,2024-01,D,0,80.0
MENTOS ROLLS MENTHE,40.0,PC (1 PC),Epicerie,lundi,2024-01,D,0,80.0
MENTOS ROLLS RAINBOW,40.0,PC (1 PC),Epicerie,lundi,2024-01,D,0,120.0
MENTOS ROLLS STRAWBERRY,40.0,PC (1 PC),Epicerie,lundi,2024-01,D,0,80.0
MENTOS ROLLS TUTTI FRUTTI,40.0,PC (1 PC),Epicerie,lundi,2024-01,D,0,80.0
NOIX DE CAJOU GRILLES SALEES 65GR,12.0,PC (1 PC),Fruits Secs,lundi,2024-01,B,0,96.0
OEUFS,4.0,PC (30 PC),Beurre Oeuf Fromage,lundi,2024-01,A,0,83.0
ORANGE A JUS,340.55,KG (1 KG),Jus Fruit Lait,lundi,2024-01,A,0,2117.05
ORANGINA BOITE 24 CL,73.0,BTE (1 BTE),Eaux et Sodas,lundi,2024-01,A,0,347.0
PAILLE ENVELOPPE 7.5MM NOIR,5.0,SCH (100 PC),Consommable,lundi,2024-01,B,0,33.0
PAIN CHAWARMA *10,8.0,PQT (10 PC),Boulangerie_R,lundi,2024-01,A,0,115.0
PAIN DE MIE CEREALE,26.0,PC (1 PC),Boulangerie_R,lundi,2024-01,B,0,130.0
PAIN DE MIE NATURE,52.0,PC,Boulangerie_R,lundi,2024-01,B,0,130.0
PAIN HAMBURGER AC,60.0,PC (1 PC),Boulangerie_R,lundi,2024-01,A,0,836.0
PAIN SANDWICH CI GUSTA,145.0,PC (1 PC),Boulangerie_R,lundi,2024-01,A,0,777.0
PATE PIZZA PANCROCCHINO 12/40,99.0,PC (1 PC),Boulangerie_R,lundi,2024-01,A,0,520.0
PATE SPAGHETTI,12.0,PC,Epicerie,lundi,2024-01,B,0,74.0
PIMENT FORT,4.7,KG,Legumes Frais,lundi,2024-01,A,0,78.95
RED BULL,58.0,PC (1 PC),Eaux et Sodas,lundi,2024-01,A,0,609.0
ROQUETTE SALADE KG,1.0,KG,Legumes Frais,lundi,2024-01,C,0,4.35
ROULEAU CAISSE 80*80,50.0,PC (1 PC),Fournitures de Bureau,lundi,2024-01,A,0,205.0
ROULEAU TPE,20.0,PC (1 PC),Fournitures de Bureau,lundi,2024-01,A,0,286.0
SAC A POUBELLE GEANT BLANC,125.0,PC (1 PC),Hygiène,lundi,2024-01,A,0,2075.0
SALADE LAITUE TUN,20.9,KG,Legumes Frais,lundi,2024-01,A,0,393.7
SANIT SURF,2.0,PC (1 PC),Hygiène,lundi,2024-01,A,0,51.0
SAUCE BARBECUE,1.0,PC (1 PC),Epicerie,lundi,2024-01,C,0,30.0
SEL FIN DE TABLE,1.0,PC (1 KG),Epicerie,lundi,2024-01,B,0,23.0
SERPILLERE,8.0,PC (1 PC),Hygiène,lundi,2024-01,A,0,122.0
SERVIETTE EN PAPIER 30*30,96.0,PC (1 PC),Consommable,lundi,2024-01,A,0,786.0
