Site,Item Id,Name,Physical Storage Quantity,Storage Unit,Family,GroupName,From,To,Delivery date,Date_week,Month,Week_iso,Demanded,Delivered,Cycle,DispatchFlag,flow,Stock_Class_x,Stock_Class_y,Stock_Class,satisfaction_rate (%),days_since_start,Inventory_Cycle,Max_Stock,Weekend
Economat,16124,GANT EN VINYL MEDUIM,100.0,SCH (1 PC),CONSO/HYG,Hygiène,Economat AC,PLAN B,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → PLAN B,A,A,A,74.97789566755084,0,1,1000.0,0
Economat,12962,GANTS LATEX,200.0,PC (1 PC),CONSO/HYG,Hygiène,Economat AC,PLAN B,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → PLAN B,A,A,A,32.55813953488372,0,1,600.0,0
Economat,12634,FANTA BOITE 24CL,4.0,PC (1 PC),LIQUIDES,Eaux et Sodas,Economat AC,MAISON FONDANT 2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → MAISON FONDANT 2,A,A,A,89.79099678456592,0,1,120.0,0
Economat,12552,BOGA LIME BOITE 24CL,3.0,BTE (1 PC),LIQUIDES,Eaux et Sodas,Economat AC,MAISON FONDANT 2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → MAISON FONDANT 2,A,A,A,90.8502024291498,0,1,138.0,0
Economat,15710,ORANGINA BOITE 24 CL,24.0,BTE (1 BTE),LIQUIDES,Eaux et Sodas,Economat AC,MAISON FONDANT 2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → MAISON FONDANT 2,A,A,A,65.52901023890784,0,1,72.0,0
Economat,16339,FORTE NSPRS,150.0,PC (1 PC),LIQUIDES,Cafe,Economat AC,MAISON FONDANT 2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → MAISON FONDANT 2,A,A,A,80.0,0,1,1500.0,0
Economat,10711,"MIRA 0,6L",120.0,PC,LIQUIDES,Eaux et Sodas,Economat AC,MAISON FONDANT 2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → MAISON FONDANT 2,A,A,A,80.97982708933718,0,1,939.0,0
Economat,12586,COCA COLA BOITE 24CL,5.0,PC (1 PC),LIQUIDES,Eaux et Sodas,Economat AC,MAISON FONDANT 2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → MAISON FONDANT 2,A,A,A,91.54624277456648,0,1,240.0,0
Economat,12727,ORANGE A JUS,100.0,KG (1 KG),LIQUIDES,Jus Fruit Lait,Economat AC,MAISON FONDANT,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → MAISON FONDANT,A,A,A,79.17023096663816,0,1,121.0,0
Economat,12874,VIPA ORIENTAL MIX 100 GR,8.0,PC (1 PC),SOLIDES,Fruits Secs,Economat AC,DB2,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB2,B,B,B,27.27272727272727,0,1,24.0,0
Economat,12727,ORANGE A JUS,20.55,KG (1 KG),LIQUIDES,Jus Fruit Lait,Economat AC,AC,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → AC,A,A,A,79.17023096663816,0,1,121.0,0
